date,dateString,weightString,weight,remarks
1,初一,五錢,0.5,
2,初二,一兩,1,
3,初三,八錢,0.8,
4,初四,一兩五錢,1.5,
5,初五,一兩六錢,1.6,
6,初六,一兩五錢,1.5,
7,初七,八錢,0.8,
8,初八,一兩六錢,1.6,
9,初九,八錢,0.8,
10,初十,一兩六錢,1.6,
11,十一,九錢,0.9,
12,十二,一兩七錢,1.7,
13,十三,八錢,0.8,
14,十四,一兩七錢,1.7,
15,十五,一兩,1,
16,十六,八錢,0.8,
17,十七,九錢,0.9,
18,十八,一兩八錢,1.8,
19,十九,五錢,0.5,
20,二十,一兩五錢,1.5,
21,二一,一兩,1,
22,二二,九錢,0.9,
23,二三,八錢,0.8,
24,二四,九錢,0.9,
25,二五,一兩五錢,1.5,
26,二六,一兩八錢,1.8,
27,二七,七錢,0.7,
28,二八,八錢,0.8,
29,二九,一兩六錢,1.6,
30,三十,六錢,0.6,