year,yearString,weightString,weight,zodiacString,zodiacImageName,remarks
1,甲子,一兩二錢,1.2,鼠,Rat,
2,乙丑,九錢,0.9,牛,Ox,
3,丙寅,六錢,0.6,虎,Tiger,
4,丁卯,七錢,0.7,兔,Rabbit,
5,戊辰,一兩二錢,1.2,龍,Dragon,
6,己巳,五錢,0.5,蛇,Snake,
7,庚午,九錢,0.9,馬,Horse,
8,辛未,八錢,0.8,羊,Goat,
9,壬申,七錢,0.7,猴,Monkey,
10,癸酉,八錢,0.8,雞,Rooster,
11,甲戌,一兩五錢,1.5,狗,Dog,
12,乙亥,九錢,0.9,豬,Pig,
13,丙子,一兩六錢,1.6,鼠,Rat,
14,丁丑,八錢,0.8,牛,Ox,
15,戊寅,八錢,0.8,虎,Tiger,
16,己卯,一兩九錢,1.9,兔,Rabbit,
17,庚辰,一兩二錢,1.2,龍,Dragon,
18,辛巳,六錢,0.6,蛇,Snake,
19,壬午,八錢,0.8,馬,Horse,
20,癸未,七錢,0.7,羊,Goat,
21,甲申,五錢,0.5,猴,Monkey,
22,乙酉,一兩五錢,1.5,雞,Rooster,
23,丙戌,六錢,0.6,狗,Dog,
24,丁亥,一兩六錢,1.6,豬,Pig,
25,戊子,一兩五錢,1.5,鼠,Rat,
26,己丑,八錢,0.8,牛,Ox,
27,庚寅,九錢,0.9,虎,Tiger,
28,辛卯,一兩二錢,1.2,兔,Rabbit,
29,壬辰,一兩,1,龍,Dragon,
30,癸巳,七錢,0.7,蛇,Snake,
31,甲午,一兩五錢,1.5,馬,Horse,
32,乙未,六錢,0.6,羊,Goat,
33,丙申,五錢,0.5,猴,Monkey,
34,丁酉,一兩四錢,1.4,雞,Rooster,
35,戊戌,一兩四錢,1.4,狗,Dog,
36,己亥,九錢,0.9,豬,Pig,
37,庚子,七錢,0.7,鼠,Rat,
38,辛丑,七錢,0.7,牛,Ox,
39,壬寅,九錢,0.9,虎,Tiger,
40,癸卯,一兩二錢,1.2,兔,Rabbit,
41,甲辰,八錢,0.8,龍,Dragon,
42,乙巳,七錢,0.7,蛇,Snake,
43,丙午,一兩三錢,1.3,馬,Horse,
44,丁未,五錢,0.5,羊,Goat,
45,戊申,一兩四錢,1.4,猴,Monkey,
46,己酉,五錢,0.5,雞,Rooster,
47,庚戌,九錢,0.9,狗,Dog,
48,辛亥,一兩七錢,1.7,豬,Pig,
49,壬子,五錢,0.5,鼠,Rat,
50,癸丑,七錢,0.7,牛,Ox,
51,甲寅,一兩二錢,1.2,虎,Tiger,
52,乙卯,八錢,0.8,兔,Rabbit,
53,丙辰,八錢,0.8,龍,Dragon,
54,丁巳,六錢,0.6,蛇,Snake,
55,戊午,一兩九錢,1.9,馬,Horse,
56,己未,六錢,0.6,羊,Goat,
57,庚申,八錢,0.8,猴,Monkey,
58,辛酉,一兩六錢,1.6,雞,Rooster,
59,壬戌,一兩,1,狗,Dog,
60,癸亥,七錢,0.7,豬,Pig,